run_id,ID,trial_type,stimulus_name,response,trial_category
12,ek64c2hy2,preload,"""","""",""""
12,ek64c2hy2,html-keyboard-response,"""", ,""""
12,ek64c2hy2,html-keyboard-response,"""",y,""""
12,ek64c2hy2,survey-text,"""","{""instructions1"":""collect water from a water source and bring it back to the wooden storage buckets""}",instructions
12,ek64c2hy2,survey-text,"""","{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket.""}",instructions
12,ek64c2hy2,survey-text,"""","{""instructions3"":""decide whether they will definitely stay in line or take opportunities to leave the line and head directly for the water source""}",instructions
12,ek64c2hy2,survey-text,"""","{""instructions4"":""This is the only person who didn’t have to decide their strategy ahead of time""}",instructions
12,ek64c2hy2,video-button-response,yes_line_7_1cut,1,yes_1
12,ek64c2hy2,video-button-response,no_line_1_1cut,1,no_1
12,ek64c2hy2,video-button-response,no_line_1_0cut,1,no_0
12,ek64c2hy2,video-button-response,yes_line_7_0cut,1,yes_0
12,ek64c2hy2,survey-html-form,"""","[{""name"":""understand"",""value"":""yes""},{""name"":""problems"",""value"":""none""},{""name"":""age"",""value"":""51""},{""name"":""gender"",""value"":""male""},{""name"":""comments"",""value"":""no""}]",debrief
12,ek64c2hy2,survey-text,"""","{""Q0"":""ek64c2hy2""}",""""
16,663sel4nw,preload,"""","""",""""
16,663sel4nw,html-keyboard-response,"""", ,""""
16,663sel4nw,html-keyboard-response,"""",y,""""
16,663sel4nw,survey-text,"""","{""instructions1"":""bring water from the source to the storage""}",instructions
16,663sel4nw,survey-text,"""","{""instructions2"":""when 8 people have brought water from source to the storage""}",instructions
16,663sel4nw,survey-text,"""","{""instructions3"":""they have to decide to wait in line or head right for the source""}",instructions
16,663sel4nw,survey-text,"""","{""instructions4"":""they didn't have to decide before hand what they are going to do""}",instructions
16,663sel4nw,video-button-response,yes_line_7_1cut,1,yes_1
16,663sel4nw,video-button-response,no_line_1_0cut,1,no_0
16,663sel4nw,video-button-response,no_line_1_1cut,1,no_1
16,663sel4nw,video-button-response,yes_line_7_0cut,1,yes_0
16,663sel4nw,survey-html-form,"""","[{""name"":""understand"",""value"":""yes""},{""name"":""problems"",""value"":""none""},{""name"":""age"",""value"":""42""},{""name"":""gender"",""value"":""male""},{""name"":""comments"",""value"":""}]",debrief
16,663sel4nw,survey-text,"""","{""Q0"":""663sel4nw ""}",""""
18,6k95upfm1,preload,"""","""",""""
18,6k95upfm1,html-keyboard-response,"""", ,""""
18,6k95upfm1,html-keyboard-response,"""",y,""""
18,6k95upfm1,survey-text,"""","{""instructions1"":""The goal is for each person to collect water from the source and bring it back to the wooden storage buckets.""}",instructions
18,6k95upfm1,survey-text,"""","{""instructions2"":""When all eight people collect water and store it in the wooden storage bucket.""}",instructions
18,6k95upfm1,survey-text,"""","{""instructions3"":""Whether to wait in line or to leave it and head directly for the water source no matter where they were in the line.""}",instructions
